Ankara,323786,39.92,32.85
istanbul,745042,41.04,28.98
izmir,311044,38.46,27.09
Antalya,323776,36.77,30.72
Adana,325361,36.98,35.29
Van,298117,38.49,43.38
Trabzon,738647,40.92,39.83
Elazig,315808,38.67,39.22
Erzurum,315367,40,41.5
