"","index","row1","row"
"1",1,25.6999969482422,42
"2",2,25.8000030517578,42
"3",3,25.8999938964844,42
"4",4,26,42
"5",5,26.1000061035156,42
"6",6,26.1999969482422,42
"7",7,26.3000030517578,42
"8",8,26.3999938964844,42
"9",9,26.5,42
"10",10,26.6000061035156,42
"11",11,26.6999969482422,42
"12",12,26.8000030517578,42
"13",13,26.8999938964844,42
"14",14,27,42
"15",15,27.1000061035156,42
"16",16,27.1999969482422,42
"17",17,27.3000030517578,42
"18",18,27.3999938964844,42
"19",19,27.5,42
"20",20,27.6000061035156,42
"21",21,27.6999969482422,42
"22",22,27.8000030517578,42
"23",23,27.8999938964844,42
